,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
60,CyberArk Software Ltd, Common Stock, M2682V108, 623, 7,800, SH,  , SOLE,  , 7,800, 0, 0],,,,,,
61,Daimler AG, ADR, 233825207, 2,244, 142,921, SH,  , SOLE,  , 142,921, 0, 0],,,,,
62,Danel Adir Yeoshua Ltd, Common Stock, M27013107, 655, 12,170, SH,  , SOLE,  , 12,170, 0, 0],,,,,,
63,Dassault Systemes SE, Common Stock, F2457H472, 1,819, 12,165, SH,  , SOLE,  , 12,165, 0, 0],,,,,
64,Deere &amp; Co, Common Stock, 244199105, 2,589, 17,222, SH,  , SOLE,  , 17,222, 0, 0],,,,,
65,DowDuPont Inc, Common Stock, 26078J100, 62, 968, SH,  , SOLE,  , 968, 0, 0],,,,,,,,
66,Eastman Chemical Co, Common Stock, 277432100, 61, 636, SH,  , SOLE,  , 636, 0, 0],,,,,,,,
67,Eastman Kodak Co, Common Stock, 277461406, 52, 16,866, SH,  , SOLE,  , 16,866, 0, 0],,,,,,
68,Ebix Inc, Common Stock, 278715206, 147, 1,862, SH,  , SOLE,  , 1,862, 0, 0],,,,,,
69,Editas Medicine Inc, Common Stock, 28106W103, 88,900, 2,793,854, SH,  , OTR,  , 2,031,690, 129,446, 632,718],
70,Elbit Systems Ltd, Common Stock, M3760D101, 2,547, 20,292, SH,  , SOLE,  , 20,292, 0, 0],,,,,
71,Evelo Biosciences Inc, Common Stock, 299734103, 2,883, 236,685, SH,  , SOLE,  , 236,685, 0, 0],,,,,
72,Evogene Ltd, Common Stock, M4119S104, 754, 242,570, SH,  , SOLE,  , 242,570, 0, 0],,,,,,
73,Evonik Industries AG, Common Stock, D2R90Y117, 59, 1,642, SH,  , SOLE,  , 1,642, 0, 0],,,,,,
74,ExOne Co/The, Common Stock, 302104104, 19,169, 2,022,084, SH,  , OTR,  , 1,641,265, 0, 380,819],,
75,FANUC Corp, Common Stock, J13440102, 42, 220, SH,  , OTR,  , 0, 220, 0],,,,,,,,
76,FARO Technologies Inc, Common Stock, 311642102, 686, 10,659, SH,  , SOLE,  , 10,659, 0, 0],,,,,,
77,FirstRand Ltd, Common Stock, S5202Z131, 59, 13,580, SH,  , SOLE,  , 13,580, 0, 0],,,,,,
78,Fiserv Inc, Common Stock, 337738108, 154, 1,873, SH,  , SOLE,  , 1,873, 0, 0],,,,,,
79,Foamix Pharmaceuticals Ltd, Common Stock, M46135105, 572, 99,901, SH,  , SOLE,  , 99,901, 0, 0],,,,,,
80,Galmed Pharmaceuticals Ltd, Common Stock, M47238106, 487, 35,846, SH,  , SOLE,  , 35,846, 0, 0],,,,,,
81,General Electric Co, Common Stock, 369604103, 478, 42,376, SH,  , SOLE,  , 42,376, 0, 0],,,,,,
82,General Motors Co, Common Stock, 37045V100, 2,723, 80,861, SH,  , SOLE,  , 80,861, 0, 0],,,,,
83,Gilat Satellite Networks Ltd, Common Stock, M51474118, 539, 61,247, SH,  , SOLE,  , 61,247, 0, 0],,,,,,
84,GMO internet Inc, Common Stock, J1822R104, 14, 800, SH,  , SOLE,  , 800, 0, 0],,,,,,,,
85,GrubHub Inc, Common Stock, 400110102, 3,583, 25,845, SH,  , SOLE,  , 25,845, 0, 0],,,,,
86,Guidewire Software Inc, Common Stock, 40171V100, 344, 3,407, SH,  , SOLE,  , 3,407, 0, 0],,,,,,
87,HDFC Bank Ltd, ADR, 40415F101, 122, 1,297, SH,  , SOLE,  , 1,297, 0, 0],,,,,,
88,Henkel AG &amp; Co KGaA, Common Stock, D3207M102, 53, 499, SH,  , SOLE,  , 499, 0, 0],,,,,,,,
89,Hexagon AB, Common Stock, W40063104, 635, 10,824, SH,  , SOLE,  , 10,824, 0, 0],,,,,,
90,Hexcel Corp, Common Stock, 428291108, 62, 926, SH,  , SOLE,  , 926, 0, 0],,,,,,,,
91,Hilan Ltd, Common Stock, M5299H123, 603, 24,021, SH,  , SOLE,  , 24,021, 0, 0],,,,,,
92,Hortonworks Inc, Common Stock, 440894103, 19,463, 853,284, SH,  , OTR,  , 578,853, 0, 274,431],,,,
93,HP Inc, Common Stock, 40434L105, 3,094, 120,077, SH,  , SOLE,  , 120,077, 0, 0],,,,,
94,HubSpot Inc, Common Stock, 443573100, 13,718, 90,881, SH,  , SOLE,  , 90,881, 0, 0],,,,,
95,Illumina Inc, Common Stock, 452327109, 99,408, 270,821, SH,  , OTR,  , 202,793, 11,022, 57,006],,,
96,Incyte Corp, Common Stock, 45337C102, 4,396, 63,643, SH,  , SOLE,  , 63,643, 0, 0],,,,,
97,Infineon Technologies AG, ADR, 45662N103, 17, 738, SH,  , SOLE,  , 738, 0, 0],,,,,,,,
98,Inovio Pharmaceuticals Inc, Common Stock, 45773H201, 10,659, 1,917,071, SH,  , OTR,  , 1,894,675, 22,396, 0],,
99,Intec Pharma Ltd, Common Stock, M53644106, 609, 107,761, SH,  , SOLE,  , 107,761, 0, 0],,,,,,
100,Intellia Therapeutics Inc, Common Stock, 45826J105, 164,673, 5,753,790, SH,  , OTR,  , 4,546,249, 285,407, 922,134],
101,Interactive Brokers Group Inc, Common Stock, 45841N107, 335, 6,048, SH,  , SOLE,  , 6,048, 0, 0],,,,,,
102,Intercontinental Exchange Inc, Common Stock, 45866F104, 5,162, 68,927, SH,  , SOLE,  , 68,927, 0, 0],,,,,
103,Intuit Inc, Common Stock, 461202103, 297, 1,307, SH,  , SOLE,  , 1,307, 0, 0],,,,,,
104,Intuitive Surgical Inc, Common Stock, 46120E602, 2,072, 3,609, SH,  , SOLE,  , 3,609, 0, 0],,,,,
105,Invitae Corp, Common Stock, 46185L103, 153,417, 9,170,156, SH,  , OTR,  , 7,456,586, 86,832, 1,626,738]
106,Ionis Pharmaceuticals Inc, Common Stock, 462222100, 11,828, 229,318, SH,  , OTR,  , 169,227, 0, 60,091],,,,
107,Iovance Biotherapeutics Inc, Common Stock, 462260100, 4,779, 424,820, SH,  , SOLE,  , 424,820, 0, 0],,,,,
108,Ituran Location and Control Lt, Common Stock, M6158M104, 624, 18,127, SH,  , SOLE,  , 18,127, 0, 0],,,,,,
109,JD.com Inc, ADR, 47215P106, 87,754, 3,363,496, SH,  , OTR,  , 2,698,552, 119,248, 545,696],
110,K2M Group Holdings Inc, Common Stock, 48273J107, 724, 26,470, SH,  , SOLE,  , 26,470, 0, 0],,,,,,
111,Kamada Ltd, Common Stock, M6240T109, 606, 97,391, SH,  , SOLE,  , 97,391, 0, 0],,,,,,
112,Koninklijke DSM NV, Common Stock, N5017D122, 64, 606, SH,  , SOLE,  , 606, 0, 0],,,,,,,,
113,Kratos Defense &amp; Security Solu, Common Stock, 50077B207, 1,095, 74,101, SH,  , SOLE,  , 74,101, 0, 0],,,,,
114,LendingClub Corp, Common Stock, 52603A109, 69,847, 18,001,802, SH,  , OTR,  , 14,610,649, 146,305, 3,244,848]
